NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
301048,2018,34,,7,43320,NULL,,O,,3.07E+13
301052,2018,42,,7,43320,NULL,,X,,
301054,2017,21,,10,42956,NULL,,O,,3.07E+13
301054,2018,21,,11,43320,NULL,,O,,3.07E+13
301059,2018,25,,10,43320,NULL,,,,
301064,2017,23,,11,42956,NULL,,,,
301067,2017,21,,11,42956,NULL,,,,
301069,2017,32,,7,42956,NULL,,,,
301071,2017,21,,10,42956,NULL,,,,
301071,2018,21,,11,43320,NULL,,,,
301073,2018,37,S,7,43472,NULL,,,,
301074,2017,22,,11,42956,NULL,,,,
301077,2017,27,,10,42956,NULL,,,,
301077,2018,27,,11,43320,NULL,,,,
301082,2018,38,,7,43320,NULL,,O,,3.07E+13
301091,2018,271,I,9,43574,NULL,,,,
301093,2017,42,,9,42956,NULL,,,,
301093,2018,42,,10,43320,NULL,,,,
301095,2017,681,S,11,43011,NULL,,,,
301095,2018,681,S,12,43320,NULL,,,,
301097,2017,31,,7,42956,NULL,,,,
301102,2017,42,,10,42956,NULL,,,,
301102,2018,42,,11,43320,NULL,,,,
301103,2017,22,,10,42956,NULL,,,,
301103,2018,22,,11,43320,NULL,,,,
301107,2017,40,,7,42956,NULL,,,,
301110,2018,24,,9,43320,NULL,,,,
301112,2017,20,,11,42956,NULL,,,,
301115,2017,24,,10,42956,NULL,,,,
301115,2018,24,,11,43320,NULL,,,,
301120,2018,38,,7,43320,NULL,,,,
301124,2017,21,,12,42956,NULL,,,,
301129,2017,25,,11,42956,NULL,,,,
301130,2017,27,,11,42956,NULL,,,,
301134,2018,40,,7,43320,NULL,,,,
301135,2017,28,,10,42956,NULL,,,,
301135,2018,28,,11,43320,NULL,,,,
301139,2017,25,,10,42956,NULL,,O,,
301139,2018,25,,11,43320,NULL,,O,,
301140,2018,38,S,7,43320,NULL,,,,
301153,2017,21,,10,43194,NULL,,,,
301153,2018,21,,11,43320,NULL,,,,
301161,2017,28,,11,42956,NULL,,,,
301163,2017,35,,7,42956,NULL,,,,
301168,2017,68,,12,42956,NULL,,I,,
301173,2017,20,,9,42956,NULL,,,,
301173,2018,20,,10,43320,NULL,,,,
301175,2017,27,,10,42956,NULL,,,,
301175,2018,27,,11,43320,NULL,,,,
301179,2017,34,,7,42956,NULL,,,,
301187,2017,24,S,9,42956,NULL,,I,,
301187,2018,20,,10,43488,NULL,,,,
301188,2017,20,,9,42956,NULL,,,,
301188,2018,20,,10,43320,NULL,,,,
301195,2017,27,,10,42956,NULL,,,,
